,lower,upper,mean,wave,age.group,contact.age.group,text_color,row_num,col_num
125,3.218216662,3.246711826,3.232709179,Wave 22,70+,"[17,70)",up,4,2
126,3.401840786,3.451152605,3.426018543,Wave 22,70+,70+,up,4,2
127,6.655911528,6.699374942,6.677198423,Wave 23,"[0,17)","[0,17)",up,4,3
128,4.957628478,4.985055763,4.970853065,Wave 23,"[0,17)","[17,70)",up,4,3
129,0.705802008,0.719353322,0.712623533,Wave 23,"[0,17)",70+,low,4,3
130,4.957774706,4.983661779,4.970936733,Wave 23,"[17,70)","[0,17)",up,4,3
131,6.782484075,6.806649137,6.794710041,Wave 23,"[17,70)","[17,70)",up,4,3
132,2.858455223,2.883738137,2.87148628,Wave 23,"[17,70)",70+,up,4,3
133,0.705706919,0.719546894,0.712671956,Wave 23,70+,"[0,17)",low,4,3
134,2.85920562,2.883522558,2.871769303,Wave 23,70+,"[17,70)",up,4,3
135,3.729382342,3.780687079,3.755552654,Wave 23,70+,70+,up,4,3
136,6.043320195,6.082417408,6.061800125,Wave 24,"[0,17)","[0,17)",up,4,4
137,5.018408243,5.04367673,5.031432736,Wave 24,"[0,17)","[17,70)",up,4,4
138,0.854592933,0.867543414,0.860922283,Wave 24,"[0,17)",70+,low,4,4
139,5.019102545,5.044098211,5.031510163,Wave 24,"[17,70)","[0,17)",up,4,4
140,6.839277604,6.861748018,6.850554558,Wave 24,"[17,70)","[17,70)",up,4,4
141,3.405154443,3.430670224,3.417728914,Wave 24,"[17,70)",70+,up,4,4
142,0.854218318,0.86765151,0.860925104,Wave 24,70+,"[0,17)",low,4,4
143,3.404639454,3.430476221,3.417756994,Wave 24,70+,"[17,70)",up,4,4
144,4.086944987,4.133599272,4.110747119,Wave 24,70+,70+,up,4,4
145,6.208702315,6.254522988,6.230846448,Wave 25,"[0,17)","[0,17)",up,5,1
146,4.574203014,4.600951023,4.58780729,Wave 25,"[0,17)","[17,70)",up,5,1
147,0.800342511,0.81459453,0.807521833,Wave 25,"[0,17)",70+,low,5,1
148,4.574248128,4.601143017,4.587800186,Wave 25,"[17,70)","[0,17)",up,5,1
149,6.699904289,6.726863154,6.713283061,Wave 25,"[17,70)","[17,70)",up,5,1
150,3.320762098,3.348120508,3.334444106,Wave 25,"[17,70)",70+,up,5,1
151,0.800387961,0.814678274,0.807716837,Wave 25,70+,"[0,17)",low,5,1
152,3.321354015,3.346892828,3.333842035,Wave 25,70+,"[17,70)",up,5,1
153,3.878385761,3.928549499,3.904201289,Wave 25,70+,70+,up,5,1
154,4.819437267,4.851811761,4.835511957,Wave 26,"[0,17)","[0,17)",up,5,2
155,4.17611102,4.197651749,4.186570029,Wave 26,"[0,17)","[17,70)",up,5,2
156,0.649855996,0.660799779,0.655107496,Wave 26,"[0,17)",70+,low,5,2
157,4.176421862,4.196827537,4.18668231,Wave 26,"[17,70)","[0,17)",up,5,2
158,6.472142189,6.494589061,6.483304756,Wave 26,"[17,70)","[17,70)",up,5,2
159,3.319212661,3.342457763,3.330432458,Wave 26,"[17,70)",70+,up,5,2
160,0.64932604,0.660971221,0.655162481,Wave 26,70+,"[0,17)",low,5,2
161,3.319619866,3.341533913,3.330797438,Wave 26,70+,"[17,70)",up,5,2
162,3.81454709,3.85827254,3.836642577,Wave 26,70+,70+,up,5,2
163,4.52108704,4.554251649,4.537506371,Wave 27,"[0,17)","[0,17)",up,5,3
164,4.217727875,4.239276737,4.228718596,Wave 27,"[0,17)","[17,70)",up,5,3
165,0.679950355,0.692115328,0.686171954,Wave 27,"[0,17)",70+,low,5,3
166,4.216986643,4.239898301,4.228780633,Wave 27,"[17,70)","[0,17)",up,5,3
167,6.752361313,6.778256078,6.765535529,Wave 27,"[17,70)","[17,70)",up,5,3
168,3.23808776,3.261597682,3.249945384,Wave 27,"[17,70)",70+,up,5,3
169,0.679708213,0.692602856,0.68608265,Wave 27,70+,"[0,17)",low,5,3
170,3.23849134,3.262579122,3.250072315,Wave 27,70+,"[17,70)",up,5,3
171,4.246333974,4.297678763,4.270822547,Wave 27,70+,70+,up,5,3
172,4.897251019,4.931791005,4.914585804,Wave 28,"[0,17)","[0,17)",up,5,4
173,4.298144666,4.320675516,4.309244823,Wave 28,"[0,17)","[17,70)",up,5,4
174,0.753798756,0.76602346,0.759566646,Wave 28,"[0,17)",70+,low,5,4
175,4.297440334,4.319719145,4.308934199,Wave 28,"[17,70)","[0,17)",up,5,4
176,6.779583235,6.804457216,6.791690067,Wave 28,"[17,70)","[17,70)",up,5,4
177,3.105624773,3.127686034,3.116659813,Wave 28,"[17,70)",70+,up,5,4
178,0.753142994,0.765737989,0.759641185,Wave 28,70+,"[0,17)",low,5,4
179,3.105956535,3.127910765,3.116607696,Wave 28,70+,"[17,70)",up,5,4
180,4.415532716,4.465016548,4.44026858,Wave 28,70+,70+,up,5,4
181,5.289795727,5.334025492,5.31047316,Wave 29,"[0,17)","[0,17)",up,6,1
182,4.307303234,4.333198115,4.320490275,Wave 29,"[0,17)","[17,70)",up,6,1
183,0.684655214,0.696971074,0.690949797,Wave 29,"[0,17)",70+,low,6,1
184,4.30772119,4.332902699,4.320500386,Wave 29,"[17,70)","[0,17)",up,6,1
185,6.735204779,6.76187052,6.748440371,Wave 29,"[17,70)","[17,70)",up,6,1
186,2.773291136,2.794637884,2.783885259,Wave 29,"[17,70)",70+,up,6,1
187,0.684642128,0.696897415,0.690883808,Wave 29,70+,"[0,17)",low,6,1
188,2.773260323,2.793812496,2.783597355,Wave 29,70+,"[17,70)",up,6,1
189,4.097788493,4.149027239,4.123861476,Wave 29,70+,70+,up,6,1
190,5.44287308,5.482182246,5.462365626,Wave 30,"[0,17)","[0,17)",up,6,2
191,4.574812354,4.600051027,4.587822101,Wave 30,"[0,17)","[17,70)",up,6,2
192,0.801362778,0.813062147,0.8071835,Wave 30,"[0,17)",70+,low,6,2
193,4.575649619,4.600933204,4.58841649,Wave 30,"[17,70)","[0,17)",up,6,2
194,6.863449956,6.890824933,6.877134288,Wave 30,"[17,70)","[17,70)",up,6,2
195,3.371142157,3.398969012,3.384573616,Wave 30,"[17,70)",70+,up,6,2
196,0.801362768,0.813651426,0.807428301,Wave 30,70+,"[0,17)",low,6,2
197,3.37037091,3.398634046,3.384675178,Wave 30,70+,"[17,70)",up,6,2
198,4.108458741,4.156958686,4.132350938,Wave 30,70+,70+,up,6,2
199,6.687960195,6.727453995,6.707476296,Wave 31,"[0,17)","[0,17)",up,6,3
200,4.897816965,4.919916241,4.908663736,Wave 31,"[0,17)","[17,70)",up,6,3
201,0.713610989,0.724842165,0.719200375,Wave 31,"[0,17)",70+,low,6,3
202,4.896384001,4.91979532,4.908695291,Wave 31,"[17,70)","[0,17)",up,6,3
203,6.980865105,7.007492231,6.993958518,Wave 31,"[17,70)","[17,70)",up,6,3
204,3.466509768,3.494916978,3.480692483,Wave 31,"[17,70)",70+,up,6,3
205,0.713308068,0.725157811,0.719326759,Wave 31,70+,"[0,17)",low,6,3
206,3.465289465,3.494500224,3.479998407,Wave 31,70+,"[17,70)",up,6,3
207,3.896960508,3.940047501,3.918728266,Wave 31,70+,70+,up,6,3
208,7.466673523,7.518525697,7.491965539,Wave 32,"[0,17)","[0,17)",up,6,4
209,5.38185593,5.413699083,5.397587222,Wave 32,"[0,17)","[17,70)",up,6,4
210,0.857892457,0.87149068,0.864633766,Wave 32,"[0,17)",70+,low,6,4
211,5.383166794,5.412941252,5.398166881,Wave 32,"[17,70)","[0,17)",up,6,4
212,7.188419451,7.219125672,7.203626535,Wave 32,"[17,70)","[17,70)",up,6,4
213,3.287445983,3.31682827,3.301797191,Wave 32,"[17,70)",70+,up,6,4
214,0.858032583,0.871971611,0.86484832,Wave 32,70+,"[0,17)",low,6,4
215,3.287113311,3.316504096,3.30162904,Wave 32,70+,"[17,70)",up,6,4
216,4.202196441,4.252918868,4.226657896,Wave 32,70+,70+,up,6,4
217,6.602941806,6.650670497,6.626783929,Wave 33,"[0,17)","[0,17)",up,7,1
218,5.006228696,5.033006662,5.019160406,Wave 33,"[0,17)","[17,70)",up,7,1
219,0.787480923,0.79983302,0.793545124,Wave 33,"[0,17)",70+,low,7,1
220,5.005300129,5.032519922,5.019008388,Wave 33,"[17,70)","[0,17)",up,7,1
221,6.845367642,6.873150356,6.858966318,Wave 33,"[17,70)","[17,70)",up,7,1
